[2025-03-20 21:49:06] - Fragment Usage [4.56293%] - Fragment Count [713 MB] - Details [Total: 15634 MB, Available: 14920 MB]
[2025-03-20 21:49:07] - Fragment Usage [4.56133%] - Fragment Count [713 MB] - Details [Total: 15634 MB, Available: 14920 MB]
[2025-03-20 21:49:08] - Fragment Usage [4.56285%] - Fragment Count [713 MB] - Details [Total: 15634 MB, Available: 14920 MB]
[2025-03-21 07:20:02] - Fragment Usage [5.1454%] - Fragment Count [43.3477 MB] - Details [Total: 15634 MB, Available: 14908 MB]
[2025-03-21 07:21:02] - Fragment Usage [5.14793%] - Fragment Count [43.4492 MB] - Details [Total: 15634 MB, Available: 14912 MB]
[2025-03-21 07:22:01] - Fragment Usage [5.14103%] - Fragment Count [43.4492 MB] - Details [Total: 15634 MB, Available: 14913 MB]
[2025-03-21 07:23:01] - Fragment Usage [5.14413%] - Fragment Count [43.4492 MB] - Details [Total: 15634 MB, Available: 14913 MB]
[2025-03-21 07:25:01] - Fragment Usage [5.26988%] - Fragment Count [43.918 MB] - Details [Total: 15634 MB, Available: 14913 MB]
[2025-03-21 07:26:01] - Fragment Usage [5.30558%] - Fragment Count [44.1055 MB] - Details [Total: 15634 MB, Available: 14914 MB]
[2025-03-21 07:27:02] - Fragment Usage [5.34184%] - Fragment Count [44.1992 MB] - Details [Total: 15634 MB, Available: 14911 MB]
[2025-03-21 07:28:01] - Fragment Usage [5.36912%] - Fragment Count [44.3008 MB] - Details [Total: 15634 MB, Available: 14912 MB]
[2025-03-21 07:29:01] - Fragment Usage [5.4101%] - Fragment Count [44.3867 MB] - Details [Total: 15634 MB, Available: 14908 MB]
[2025-03-21 07:30:01] - Fragment Usage [5.44467%] - Fragment Count [44.4883 MB] - Details [Total: 15634 MB, Available: 14907 MB]
[2025-03-21 07:31:01] - Fragment Usage [5.43376%] - Fragment Count [44.5859 MB] - Details [Total: 15634 MB, Available: 14913 MB]
[2025-03-21 07:32:02] - Fragment Usage [5.49812%] - Fragment Count [44.7734 MB] - Details [Total: 15634 MB, Available: 14910 MB]
[2025-03-21 07:33:00] - Fragment Usage [5.49884%] - Fragment Count [44.8672 MB] - Details [Total: 15634 MB, Available: 14914 MB]
[2025-03-21 07:34:01] - Fragment Usage [5.52323%] - Fragment Count [44.9609 MB] - Details [Total: 15634 MB, Available: 14914 MB]
[2025-03-21 07:35:02] - Fragment Usage [5.54282%] - Fragment Count [45.0312 MB] - Details [Total: 15634 MB, Available: 14914 MB]
[2025-03-21 07:36:00] - Fragment Usage [5.55768%] - Fragment Count [45.0312 MB] - Details [Total: 15634 MB, Available: 14913 MB]
[2025-03-21 07:37:01] - Fragment Usage [5.56568%] - Fragment Count [45.0234 MB] - Details [Total: 15634 MB, Available: 14911 MB]
[2025-03-21 07:38:01] - Fragment Usage [5.62509%] - Fragment Count [45.207 MB] - Details [Total: 15634 MB, Available: 14909 MB]
[2025-03-21 07:39:01] - Fragment Usage [5.66409%] - Fragment Count [45.3086 MB] - Details [Total: 15634 MB, Available: 14907 MB]
[2025-03-21 07:40:01] - Fragment Usage [5.69513%] - Fragment Count [45.4023 MB] - Details [Total: 15634 MB, Available: 14906 MB]
[2025-03-21 07:41:01] - Fragment Usage [5.702%] - Fragment Count [45.4023 MB] - Details [Total: 15634 MB, Available: 14905 MB]
[2025-03-21 07:42:01] - Fragment Usage [5.74095%] - Fragment Count [45.4023 MB] - Details [Total: 15634 MB, Available: 14907 MB]
[2025-03-21 07:43:00] - Fragment Usage [5.86337%] - Fragment Count [45.5938 MB] - Details [Total: 15634 MB, Available: 14908 MB]
[2025-03-21 10:01:02] - Fragment Usage [6.59894%] - Fragment Count [48.8398 MB] - Details [Total: 15634 MB, Available: 14908 MB]
